Epoch 1383/9999, Iters: 008300, loss: 0.0054, train_accuracy: 0.4219, time: 0.00 s/iter, learning rate: 0.001
Epoch 1399/9999, Iters: 008400, loss: 0.0053, train_accuracy: 0.3929, time: 0.01 s/iter, learning rate: 0.001
Epoch 1416/9999, Iters: 008500, loss: 0.0049, train_accuracy: 0.4219, time: 0.01 s/iter, learning rate: 0.001
Epoch 1433/9999, Iters: 008600, loss: 0.0089, train_accuracy: 0.3828, time: 0.00 s/iter, learning rate: 0.001
Epoch 1449/9999, Iters: 008700, loss: 0.0606, train_accuracy: 0.2946, time: 0.01 s/iter, learning rate: 0.001
Epoch 1466/9999, Iters: 008800, loss: 0.0082, train_accuracy: 0.3672, time: 0.01 s/iter, learning rate: 0.001
Epoch 1483/9999, Iters: 008900, loss: 0.0071, train_accuracy: 0.3594, time: 0.00 s/iter, learning rate: 0.001
Epoch 1499/9999, Iters: 009000, loss: 0.0051, train_accuracy: 0.4107, time: 0.01 s/iter, learning rate: 0.001
Epoch 1516/9999, Iters: 009100, loss: 0.0046, train_accuracy: 0.4688, time: 0.01 s/iter, learning rate: 0.001
Epoch 1533/9999, Iters: 009200, loss: 0.0036, train_accuracy: 0.3438, time: 0.00 s/iter, learning rate: 0.001
Epoch 1549/9999, Iters: 009300, loss: 0.0043, train_accuracy: 0.3929, time: 0.01 s/iter, learning rate: 0.001
Epoch 1566/9999, Iters: 009400, loss: 0.0031, train_accuracy: 0.4297, time: 0.01 s/iter, learning rate: 0.001
Epoch 1583/9999, Iters: 009500, loss: 0.0073, train_accuracy: 0.3125, time: 0.00 s/iter, learning rate: 0.001
Epoch 1599/9999, Iters: 009600, loss: 0.0085, train_accuracy: 0.3214, time: 0.01 s/iter, learning rate: 0.001
Epoch 1616/9999, Iters: 009700, loss: 0.0122, train_accuracy: 0.3828, time: 0.01 s/iter, learning rate: 0.001
Epoch 1633/9999, Iters: 009800, loss: 0.0400, train_accuracy: 0.2578, time: 0.00 s/iter, learning rate: 0.001
Epoch 1649/9999, Iters: 009900, loss: 0.0226, train_accuracy: 0.2500, time: 0.01 s/iter, learning rate: 0.001
Epoch 1666/9999, Iters: 010000, loss: 0.0057, train_accuracy: 0.3594, time: 0.01 s/iter, learning rate: 0.001
Epoch 1683/9999, Iters: 010100, loss: 0.0035, train_accuracy: 0.2969, time: 0.00 s/iter, learning rate: 0.001
Epoch 1699/9999, Iters: 010200, loss: 0.0025, train_accuracy: 0.3036, time: 0.01 s/iter, learning rate: 0.001
Epoch 1716/9999, Iters: 010300, loss: 0.0022, train_accuracy: 0.3828, time: 0.01 s/iter, learning rate: 0.001
